"","animal_id_intake","intake_type","intake_condition","time_in_shelter_days","animal_type","sex_upon_intake","age_upon_intake_(years)","age_upon_intake_age_group","breed","color","outcome_type","age","time_in_shelter_months","time_in_shelter_weeks","binary","trinary","fixed_or_not"
"1","A178569","Public Assist","Normal",6,"Dog","Male",15,"(12.5, 15.0]","Shetland Sheepdog Mix","White","Return to Owner",15,0,1,0,"under_one_month","Fixed"
"2","A200922","Owner Surrender","Normal",50,"Dog","Male",16,"(15.0, 17.5]","Dachshund Mix","Black","Adoption",16,2,7,1,"over one month","Fixed"
"3","A210457","Public Assist","Aged",9,"Dog","Male",17,"(15.0, 17.5]","Chihuahua Shorthair","Tan","Adoption",17,0,1,0,"under_one_month","Fixed"
"4","A238870","Stray","Normal",8,"Dog","Male",15,"(12.5, 15.0]","Rat Terrier Mix","Gray","Transfer",15,0,1,0,"under_one_month","Fixed"
"5","A249087","Stray","Normal",90,"Dog","Female",15,"(12.5, 15.0]","German Shepherd Mix","Black","Adoption",15,3,13,1,"over one month","Fixed"
"6","A267174","Public Assist","Normal",7,"Dog","Male",12,"(10.0, 12.5]","Jack Russell Terrier Mix","White","Return to Owner",12,0,1,0,"under_one_month","Fixed"
"7","A271790","Stray","Normal",7,"Dog","Male",12,"(10.0, 12.5]","Harrier Mix","Tricolor","Euthanasia",12,0,1,0,"under_one_month","Fixed"
"8","A276644","Owner Surrender","Sick",6,"Cat","Female",14,"(12.5, 15.0]","Domestic Shorthair Mix","Tortie","Transfer",14,0,1,0,"under_one_month","Fixed"
"9","A279920","Stray","Normal",9,"Dog","Male",12,"(10.0, 12.5]","American Eskimo Mix","Cream","Euthanasia",12,0,1,0,"under_one_month","Fixed"
"10","A293138","Stray","Injured",6,"Cat","Female",15,"(12.5, 15.0]","Domestic Shorthair","Blue Cream","Transfer",15,0,1,0,"under_one_month","Fixed"
"11","A301824","Stray","Aged",51,"Cat","Female",13,"(12.5, 15.0]","Domestic Shorthair","Calico","Transfer",13,2,7,1,"over one month","Fixed"
"12","A303591","Stray","Normal",8,"Dog","Male",16,"(15.0, 17.5]","Miniature Schnauzer","Black","Transfer",16,0,1,0,"under_one_month","Fixed"
"13","A304036","Stray","Normal",8,"Cat","Male",13,"(12.5, 15.0]","Domestic Shorthair Mix","Brown Tabby","Adoption",13,0,1,0,"under_one_month","Fixed"
"14","A318500","Public Assist","Normal",7,"Dog","Male",13,"(12.5, 15.0]","German Shepherd Mix","Tan","Return to Owner",13,0,1,0,"under_one_month","Fixed"
"15","A321341","Owner Surrender","Normal",57,"Cat","Female",10,"(7.5, 10.0]","Domestic Shorthair Mix","Tortie","Adoption",10,2,8,1,"over one month","Fixed"
"16","A322813","Public Assist","Normal",8,"Dog","Male",11,"(10.0, 12.5]","Rottweiler Mix","Black","Return to Owner",11,0,1,0,"under_one_month","Fixed"
"17","A325999","Stray","Normal",8,"Dog","Female",12,"(10.0, 12.5]","Pit Bull Mix","Brown","Euthanasia",12,0,1,0,"under_one_month","Fixed"
"18","A337187","Owner Surrender","Normal",9,"Dog","Male",12,"(10.0, 12.5]","Golden Retriever Mix","Red","Euthanasia",12,0,1,0,"under_one_month","Fixed"
"19","A338643","Owner Surrender","Normal",90,"Dog","Male",12,"(10.0, 12.5]","Labrador Retriever","Black","Adoption",12,3,13,1,"over one month","Fixed"
"20","A339803","Owner Surrender","Normal",58,"Dog","Male",9,"(7.5, 10.0]","Labrador Retriever","Tan","Adoption",9,2,8,1,"over one month","Fixed"
"21","A341599","Owner Surrender","Normal",9,"Cat","Male",9,"(7.5, 10.0]","Domestic Shorthair Mix","Black","Transfer",9,0,1,0,"under_one_month","Fixed"
"22","A346010","Public Assist","Normal",7,"Dog","Female",9,"(7.5, 10.0]","Chihuahua Shorthair Mix","Black","Adoption",9,0,1,0,"under_one_month","Fixed"
"23","A349480","Public Assist","Normal",7,"Dog","Female",11,"(10.0, 12.5]","Labrador Retriever Mix","Chocolate","Return to Owner",11,0,1,0,"under_one_month","Fixed"
"24","A350375","Stray","Normal",78,"Cat","Male",14,"(12.5, 15.0]","Siamese Mix","Blue Point","Transfer",14,3,11,1,"over one month","Fixed"
"25","A355753","Owner Surrender","Normal",9,"Dog","Male",11,"(10.0, 12.5]","Beagle Mix","Tricolor","Adoption",11,0,1,0,"under_one_month","Fixed"
"26","A358697","Public Assist","Normal",6,"Dog","Male",11,"(10.0, 12.5]","Pit Bull Mix","Brown","Return to Owner",11,0,1,0,"under_one_month","Fixed"
"27","A362967","Public Assist","Normal",7,"Dog","Female",9,"(7.5, 10.0]","German Shepherd","Tan","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"28","A371000","Public Assist","Normal",65,"Cat","Male",10,"(7.5, 10.0]","Domestic Shorthair Mix","Blue","Adoption",10,2,9,1,"over one month","Fixed"
"29","A373219","Owner Surrender","Normal",7,"Cat","Female",5,"(2.5, 5.0]","Domestic Shorthair Mix","Brown Tabby","Transfer",5,0,1,0,"under_one_month","Fixed"
"30","A378348","Owner Surrender","Normal",88,"Dog","Male",9,"(7.5, 10.0]","German Shepherd Mix","Black","Adoption",9,3,13,1,"over one month","Fixed"
"31","A381217","Stray","Sick",9,"Dog","Male",13,"(12.5, 15.0]","Miniature Poodle","White","Transfer",13,0,1,0,"under_one_month","Fixed"
"32","A386276","Owner Surrender","Normal",9,"Cat","Male",10,"(7.5, 10.0]","Domestic Shorthair Mix","Flame Point","Adoption",10,0,1,0,"under_one_month","Fixed"
"33","A390222","Owner Surrender","Normal",7,"Dog","Female",9,"(7.5, 10.0]","Jack Russell Terrier","White","Adoption",9,0,1,0,"under_one_month","Fixed"
"34","A395451","Public Assist","Normal",7,"Dog","Male",10,"(7.5, 10.0]","Labrador Retriever","Red","Return to Owner",10,0,1,0,"under_one_month","Fixed"
